"codigo","nombre","population","total_functional_2015","per_person","cut"
44145,"Mas de las Matas",1324,1463800,1105.58912386707,"de 1.000 a 5.000"
10132,"Navalvillar de Ibor",455,413557.98,908.918637362637,"Menos de 1.000"
46002,"Ador",1411,1316125.51,932.760815024805,"de 1.000 a 5.000"
40003,"Adrados",156,275100,1763.46153846154,"Menos de 1.000"
25002,"Àger",594,1273548.07,2144.02031986532,"Menos de 1.000"
6004,"Alange",1946,1849000,950.154162384378,"de 1.000 a 5.000"
45199,"Viso de San Juan, El",4261,2961371,694.994367519362,"de 1.000 a 5.000"
43907,"Canonja, La",5807,11130000,1916.65231617014,"de 5.000 a 10.000"
41094,"Umbrete",8608,4945892.55,574.569301812268,"de 5.000 a 10.000"
16219,"Uña",106,117901,1112.27358490566,"Menos de 1.000"
47176,"Unión de Campos, La",279,186660,669.032258064516,"Menos de 1.000"
30041,"Unión, La",19452,10090299,518.72809993831,"de 10.000 a 50.000"
6003,"Ahillones",990,850000,858.585858585859,"Menos de 1.000"
8014,"Aiguafreda",2498,2589150,1036.48919135308,"de 1.000 a 5.000"
17002,"Aiguaviva",783,902416.55,1152.51155810983,"Menos de 1.000"
3004,"Aigües",984,723498.94,735.263150406504,"Menos de 1.000"
12002,"Aín",129,171174,1326.93023255814,"Menos de 1.000"
22907,"Aínsa-Sobrarbe",2213,2697580,1218.96972435608,"de 1.000 a 5.000"
50006,"Ainzón",1162,766807,659.902753872633,"de 1.000 a 5.000"
22006,"Aisa",363,1057654.19,2913.64790633609,"Menos de 1.000"
26004,"Ajamil de Cameros",72,330649.79,4592.35819444444,"Menos de 1.000"
50007,"Aladrén",54,79140.12,1465.55777777778,"Menos de 1.000"
7002,"Alaior",9162,10875110.55,1186.97997707924,"de 5.000 a 10.000"
21001,"Alájar",798,648473.75,812.623746867168,"Menos de 1.000"
38003,"Alajeró",1954,2763138,1414.09314227226,"de 1.000 a 5.000"
29001,"Alameda",5403,4748077.51,878.785398852489,"de 5.000 a 10.000"
37006,"Alamedilla, La",150,132890,885.933333333333,"Menos de 1.000"
19004,"Alaminos",71,60800,856.338028169014,"Menos de 1.000"
28004,"Álamo, El",8929,5713028.45,639.828474633218,"de 5.000 a 10.000"
43156,"Ulldecona",6904,5212497.15,754.99669032445,"de 5.000 a 10.000"
46251,"Vallada",3135,2466433,786.740988835726,"de 1.000 a 5.000"
46009,"Albalat dels Sorells",3937,2150940.9,546.340081280163,"de 1.000 a 5.000"
46010,"Albalat dels Tarongers",1163,858459.81,738.142570937231,"de 1.000 a 5.000"
17208,"Vall de Bianya, La",1305,1303175.22,998.601701149425,"de 1.000 a 5.000"
17209,"Vall-llobrega",901,982000,1089.90011098779,"Menos de 1.000"
3137,"Vall de Laguar, la",872,805640,923.899082568807,"Menos de 1.000"
22007,"Albalate de Cinca",1201,674338.94,561.481215653622,"de 1.000 a 5.000"
46252,"Vallanca",156,453848,2909.28205128205,"Menos de 1.000"
9408,"Vallarta de Bureba",48,84267.11,1755.56479166667,"Menos de 1.000"
17207,"Vall d'en Bas, La",2965,3804404.62,1283.10442495784,"de 1.000 a 5.000"
12123,"Vallat",54,66470,1230.92592592593,"Menos de 1.000"
